EXTN_LEGACY_ITEM_ID,EXTN_LEGACY_SELLER_ID,NODE,MIN_DAYS_TO_SHIP,MAX_DAYS_TO_SHIP
10543977,0,6559,0,0
47142708,0,736465,0,0
36754139,0,732958,0,0
29518774,0,446620,0,0
43957324,0,736465,0,0
23601951,0,6559,0,0
26351681,0,736465,0,0
17248355,0,4364,0,0
442690,0,736465,0,0
43379578,0,736465,0,0
15181183,0,736465,0,0
35300988,0,446620,0,0
43956670,0,736465,0,0
22257021,0,6020201,0,0
9240481,0,736465,0,0
24483333,0,736465,0,0
20712089,0,83415305,0,0
21086668,0,736465,0,0
4361467,0,736465,0,0
38186223,0,736434,0,0
1622873,0,736465,0,0
42415591,0,736465,0,0
21067031,0,2957917,0,0
10260855,0,736465,0,0
33844066,0,6559,0,0
26927448,0,736434,0,0
22069457,0,395841,0,0
44021663,0,446620,0,0
19717676,0,362541,0,0
21958790,0,2957917,0,0
26028368,0,736465,0,0
23564311,0,736465,0,0
17126880,0,6559,0,0
20749670,0,736465,0,0
32636374,0,588723,0,0
42369406,0,736465,0,0
10970211,0,736434,0,0
25954470,0,736434,0,0
1563024,0,736465,0,0
13984730,0,736434,0,0
10230677,0,736465,0,0
34620287,0,4401,0,0
32634357,0,736434,0,0
29411840,0,446620,0,0
26464043,0,44103004,0,0
37840520,0,4364,0,0
39391938,0,736434,0,0
24180698,0,736434,0,0
19664414,0,336586,0,0
17809257,0,736434,0,0
15548689,0,736465,0,0
19403438,0,736465,0,0
19897942,0,4364,0,0
47321872,0,736465,0,0
38630340,0,446620,0,0
914886,0,736465,0,0
511778,0,736434,0,0
22230473,0,6559,0,0
19602952,0,736465,0,0
39967989,0,736434,0,0
824264,0,736465,0,0
26030143,0,736465,0,0
19624261,0,2957910,0,0
25549688,0,2957909,0,0
22267341,0,736465,0,0
9886276,0,4900,0,0
43149722,0,736465,0,0
33939481,0,736465,0,0
30526115,0,736465,0,0
10231104,0,736465,0,0
30098171,0,83415305,0,0
760539,0,736434,0,0
26779669,0,44103004,0,0
11045884,0,4401,0,0
31887319,0,736465,0,0
29015298,0,446620,0,0
36129024,0,4364,0,0
19667472,0,2957911,0,0
25666065,0,736465,0,0
28503399,0,729981,0,0
46894906,0,446620,0,0
15083589,0,736465,0,0
36999760,0,395841,0,0
39577096,0,446620,0,0
28024677,0,736465,0,0
14264262,0,446620,0,0
16916865,0,212592,0,0
20645836,0,446620,0,0
15439511,0,736465,0,0
23142931,0,44103001,0,0
14145397,0,736465,0,0
20560413,0,736465,0,0
10157164,0,736434,0,0
38407660,0,736434,0,0
15686476,0,2957916,0,0
2064378,0,446620,0,0
24837888,0,736465,0,0
17800346,0,736465,0,0
23369443,0,736465,0,0
11045823,0,6559,0,0
14915336,0,2957914,0,0
10839356,0,736434,0,0
22984424,0,4900,0,0
40792761,0,736434,0,0
15140546,0,2957905,0,0
21069134,0,2957905,0,0
45761665,0,736465,0,0
30035710,0,736465,0,0
34432782,0,446620,0,0
13282228,0,821389,0,0
21151924,0,4900,0,0
6051635,0,446620,0,0
24646698,0,736465,0,0
38540090,0,736434,0,0
24244381,0,736434,0,0
45142281,0,736465,0,0
25953898,0,736434,0,0
10805081,0,4364,0,0
7788600,0,736465,0,0
15228577,0,736465,0,0
14604873,0,2957905,0,0
35048599,0,220699,0,0
16499304,0,736465,0,0
380275,0,736465,0,0
25238920,0,736465,0,0
14931837,0,2957912,0,0
37368797,0,736465,0,0
10293851,0,8302,0,0
13920601,0,736465,0,0
25219399,0,736434,0,0
24077028,0,6020201,0,0
21568820,0,446620,0,0
24756324,0,736434,0,0
24389779,0,4900,0,0
454415,0,736434,0,0
20635726,0,736465,0,0
7985895,0,736434,0,0
10785320,0,736465,0,0
29468431,0,446620,0,0
38656343,0,736434,0,0
29410538,0,446620,0,0
33219548,0,736434,0,0
35433826,0,6559,0,0
21278867,0,736465,0,0
2610785,0,736465,0,0
27820599,0,736465,0,0
38056045,0,4900,0,0
15058124,0,736465,0,0
21851044,0,736465,0,0
21755528,0,736465,0,0
14957958,0,2957906,0,0
21093585,0,4364,0,0
34451281,0,446620,0,0
19686766,0,2957905,0,0
19524915,0,446620,0,0
37176276,0,736465,0,0
38410844,0,736465,0,0
15034489,0,151761,0,0
1072213,0,736465,0,0
35024804,0,446620,0,0
26888361,0,736465,0,0
35501303,0,588723,0,0
45143078,0,736465,0,0
29295303,0,8302,0,0
13043726,0,736465,0,0
15529544,0,75618202,0,0
21671737,0,736465,0,0
34527608,0,95052,0,0
19720637,0,4364,0,0
20929940,0,736465,0,0
33550712,0,736465,0,0
34473202,0,446620,0,0
15754222,0,8302,0,0
17172217,0,736465,0,0
13056349,0,2957915,0,0
10193708,0,736465,0,0
21598550,0,736465,0,0
38664907,0,395841,0,0
8469856,0,736465,0,0
40570472,0,736465,0,0
37282823,0,736434,0,0
14915298,0,2957913,0,0
36210228,0,2957911,0,0
11598937,0,736465,0,0
15840602,0,729981,0,0
5402624,0,736465,0,0
3551953,0,736465,0,0
16437087,0,736465,0,0
2483354,0,736465,0,0
19340327,0,446620,0,0
15126539,0,8302,0,0
32634380,0,736434,0,0
21278438,0,736434,0,0
8341100,0,736465,0,0
19797534,0,736465,0,0
14590597,0,2957902,0,0
38189489,0,736434,0,0
5280272,0,736434,0,0
21971274,0,736465,0,0
27942604,0,39079201,0,0
26975944,0,8302,0,0
34537947,0,446620,0,0
10997314,0,4364,0,0
19532970,0,736465,0,0
15058164,0,736465,0,0
28680731,0,2957914,0,0
28906877,0,736434,0,0
14950881,0,736465,0,0
24748412,0,736465,0,0
21574835,0,736465,0,0
36370712,0,2957912,0,0
25814094,0,736465,0,0
14015259,0,736465,0,0
14914585,0,2957906,0,0
15600548,0,2957917,0,0
40573633,0,4364,0,0
2062588,0,736434,0,0
38177602,0,736465,0,0
4086957,0,736434,0,0
10219871,0,736434,0,0
22359271,0,8302,0,0
15074436,0,2957910,0,0
17203457,0,4364,0,0
