EXTN_LEGACY_ITEM_ID,EXTN_LEGACY_SELLER_ID,NODE,MIN_DAYS_TO_SHIP,MAX_DAYS_TO_SHIP
5983464,0,8302,0,0
17340548,0,588723,0,0
19613392,0,6559,0,0
24754831,0,736465,0,0
40682237,0,736465,0,0
44378010,0,232162,0,0
17250538,0,736465,0,0
40791966,0,736434,0,0
26655706,0,736434,0,0
19901204,0,729981,0,0
26736193,0,736465,0,0
16622344,0,4364,0,0
43223908,0,4364,0,0
3629052,0,736465,0,0
29517041,0,446620,0,0
42592635,0,736465,0,0
252270,0,736465,0,0
11008791,0,736434,0,0
26489165,0,736465,0,0
5279616,0,736465,0,0
31885401,0,736465,0,0
25658153,0,736434,0,0
20525034,0,446620,0,0
14321726,0,446620,0,0
40971517,0,736434,0,0
48986628,0,83415305,0,0
37874084,0,446620,0,0
16619530,0,736434,0,0
43977390,0,4401,0,0
14535148,0,736465,0,0
46926594,0,736465,0,0
10985524,0,736465,0,0
21808849,0,736465,0,0
33665821,0,53000603,0,0
42594246,0,736465,0,0
22897758,0,736434,0,0
5605316,0,736465,0,0
16345544,0,736465,0,0
24242810,0,736465,0,0
10276843,0,736465,0,0
46129249,0,736465,0,0
15780198,0,446620,0,0
37424911,0,6020203,0,0
13219073,0,736465,0,0
44718331,0,736465,0,0
3468751,0,446620,0,0
21942661,0,736465,0,0
20796879,0,736465,0,0
21346054,0,446620,0,0
37369241,0,736465,0,0
17182327,0,212592,0,0
39391244,0,736465,0,0
16614024,0,736465,0,0
38412941,0,736465,0,0
45053758,0,736465,0,0
19797246,0,736434,0,0
45759482,0,736465,0,0
27102942,0,395841,0,0
29274316,0,41354501,0,0
2139197,0,446620,0,0
34447668,0,446620,0,0
21757278,0,44103006,0,0
15743982,0,736465,0,0
20975288,0,395841,0,0
498360,0,736465,0,0
14233062,0,736465,0,0
30645123,0,220699,0,0
667511,0,736434,0,0
15228270,0,736465,0,0
12440774,0,446620,0,0
29152780,0,446620,0,0
24595407,0,736465,0,0
37281046,0,736465,0,0
21407230,0,4364,0,0
23416427,0,736465,0,0
24182450,0,588723,0,0
9216850,0,736434,0,0
12163036,0,736465,0,0
15042418,0,888880004,0,0
34455927,0,446620,0,0
10829852,0,736465,0,0
577909,0,736465,0,0
29094500,0,731356,0,0
29546161,0,446620,0,0
37625527,0,446620,0,0
30644858,0,336586,0,0
25954346,0,736465,0,0
11593795,0,736465,0,0
30170195,0,736465,0,0
19797654,0,736465,0,0
27208919,0,736465,0,0
42081491,0,736434,0,0
23401806,0,736465,0,0
20511025,0,8302,0,0
37579584,0,220699,0,0
35837868,0,166222,0,0
29270564,0,736465,0,0
21064299,0,888880087,0,0
35669859,0,220699,0,0
10306432,0,736465,0,0
22071783,0,2957905,0,0
20931364,0,736465,0,0
534719,0,736465,0,0
49398994,0,888880008,0,0
22638067,0,888880047,0,0
10734418,0,736465,0,0
16898492,0,2957910,0,0
17286632,0,736465,0,0
23782442,0,736465,0,0
20975431,0,51564301,0,0
13397829,0,736465,0,0
28718106,0,736434,0,0
4564777,0,736465,0,0
16415509,0,736465,0,0
7764292,0,736465,0,0
45701610,0,4364,0,0
33817415,0,736434,0,0
31196725,0,588723,0,0
25801631,0,736465,0,0
17169929,0,736465,0,0
43187570,0,736434,0,0
10788416,0,736465,0,0
20623711,0,736465,0,0
605887,0,736465,0,0
15085282,0,6559,0,0
24056367,0,736465,0,0
43908323,0,736465,0,0
38653811,0,736434,0,0
25864948,0,220699,0,0
2371482,0,736465,0,0
1155001,0,736465,0,0
17374236,0,736465,0,0
468792,0,736465,0,0
13073944,0,736465,0,0
39069052,0,220699,0,0
14258226,0,736465,0,0
42335697,0,736465,0,0
30171745,0,736465,0,0
10087851,0,446620,0,0
14894271,0,446620,0,0
25792781,0,736465,0,0
15548546,0,736465,0,0
25947923,0,736465,0,0
38178006,0,736434,0,0
20958873,0,729981,0,0
16570121,0,736465,0,0
45160551,0,446620,0,0
15158530,0,736465,0,0
34436229,0,446620,0,0
7981344,0,736465,0,0
43583969,0,4364,0,0
35889195,0,220699,0,0
27617737,0,588723,0,0
13245114,0,736465,0,0
16614922,0,736434,0,0
20862358,0,736434,0,0
34643880,0,446620,0,0
29412635,0,446620,0,0
28997598,0,446620,0,0
20934607,0,228643,0,0
31429010,0,220699,0,0
25664883,0,736434,0,0
45453257,0,4364,0,0
29132144,0,731565,0,0
22386166,0,736465,0,0
24542980,0,220699,0,0
39963789,0,736434,0,0
3478030,0,446620,0,0
38411963,0,736465,0,0
45776347,0,17621,0,0
29328600,0,736465,0,0
22097885,0,228643,0,0
15049209,0,446620,0,0
28422342,0,4900,0,0
38360657,0,362541,0,0
34734767,0,446620,0,0
46505746,0,736465,0,0
34480296,0,729981,0,0
22478052,0,2957906,0,0
46682157,0,736465,0,0
35177109,0,588723,0,0
35259268,0,220699,0,0
23143604,0,2957914,0,0
19593307,0,212592,0,0
28644002,0,2957916,0,0
42155372,0,736434,0,0
10928550,0,888880087,0,0
24107694,0,4364,0,0
36593186,0,212592,0,0
22405416,0,736434,0,0
5615003,0,446620,0,0
43975209,0,39079201,0,0
16352295,0,2957905,0,0
35888543,0,220699,0,0
21048700,0,736465,0,0
24527360,0,736465,0,0
40396343,0,736434,0,0
25241873,0,736465,0,0
20658072,0,8302,0,0
38313307,0,736434,0,0
23564698,0,736465,0,0
17169828,0,736434,0,0
19900573,0,729981,0,0
20437880,0,736465,0,0
14644511,0,446620,0,0
30039769,0,736465,0,0
34975025,0,4900,0,0
21955509,0,2957906,0,0
44443306,0,446620,0,0
23862216,0,736465,0,0
1026390,0,446620,0,0
22152638,0,6559,0,0
10722979,0,736434,0,0
25581664,0,729981,0,0
30527381,0,736465,0,0
10749203,0,736465,0,0
11000452,0,736465,0,0
15182022,0,736465,0,0
25659623,0,736465,0,0
24833566,0,736465,0,0
17760134,0,736465,0,0
23834259,0,736465,0,0
13250641,0,736434,0,0
1403192,0,736465,0,0
25673489,0,736465,0,0
23076413,0,736465,0,0
44462230,0,297064,0,0
10762152,0,736465,0,0
29053024,0,220699,0,0
15022068,0,736465,0,0
26476157,0,736465,0,0
24497140,0,446620,0,0
14294688,0,446620,0,0
16534538,0,736465,0,0
34468449,0,446620,0,0
45965646,0,736465,0,0
39388880,0,736434,0,0
25665108,0,736434,0,0
8053675,0,736465,0,0
1118480,0,736465,0,0
35498527,0,220699,0,0
40569206,0,736434,0,0
8131348,0,736465,0,0
15858077,0,736465,0,0
47364309,0,888880008,0,0
34448547,0,446620,0,0
6498974,0,446620,0,0
37406662,0,4364,0,0
17253415,0,446620,0,0
40397241,0,736465,0,0
46587804,0,736465,0,0
21472139,0,736465,0,0
29503482,0,220699,0,0
28907956,0,736465,0,0
33817457,0,736434,0,0
15140790,0,4401,0,0
25237061,0,736465,0,0
42412943,0,736465,0,0
2667574,0,736465,0,0
47068789,0,888880008,0,0
25797881,0,736465,0,0
43768212,0,736465,0,0
21103270,0,736465,0,0
48767111,0,83415301,0,0
24500974,0,65616203,0,0
22617065,0,6559,0,0
21557398,0,446620,0,0
24077209,0,736434,0,0
43375422,0,736465,0,0
10094072,0,736465,0,0
25812012,0,736465,0,0
43298422,0,736434,0,0
17195400,0,588723,0,0
43242018,0,588723,0,0
15858464,0,736465,0,0
35433824,0,6559,0,0
43187225,0,736434,0,0
3357148,0,446620,0,0
31222074,0,588723,0,0
710173,0,736465,0,0
13026474,0,736434,0,0
17739050,0,736434,0,0
13223256,0,736465,0,0
38655628,0,736465,0,0
26034713,0,736465,0,0
14148030,0,736465,0,0
2338143,0,736434,0,0
10271156,0,446620,0,0
17106614,0,736434,0,0
20931366,0,736465,0,0
22567105,0,4900,0,0
1762193,0,446620,0,0
5682522,0,736465,0,0
44979513,0,736465,0,0
758400,0,736465,0,0
8302804,0,736465,0,0
47458479,0,414560,0,0
16790233,0,736465,0,0
2222908,0,736465,0,0
19341570,0,261593,0,0
23708319,0,446620,0,0
10883118,0,736465,0,0
29510355,0,736465,0,0
35175683,0,8302,0,0
19484579,0,736465,0,0
4563883,0,736434,0,0
13916868,0,736465,0,0
4991726,0,736465,0,0
29104801,0,446620,0,0
1580665,0,736465,0,0
17772126,0,151779,0,0
14322300,0,446620,0,0
35987670,0,736465,0,0
29467981,0,446620,0,0
535211,0,736465,0,0
22385495,0,736465,0,0
532254,0,736465,0,0
34450852,0,446620,0,0
43580219,0,736465,0,0
2616432,0,736465,0,0
38180088,0,736434,0,0
12338715,0,736434,0,0
14940216,0,2957913,0,0
37279254,0,736465,0,0
33073397,0,736465,0,0
2377724,0,736434,0,0
29282251,0,446620,0,0
15574446,0,212592,0,0
26580075,0,736465,0,0
30174235,0,736465,0,0
10090280,0,736465,0,0
26591617,0,6020201,0,0
42081779,0,736434,0,0
19482642,0,736465,0,0
39123195,0,736434,0,0
26662316,0,736465,0,0
15913299,0,736465,0,0
29146849,0,736465,0,0
10293323,0,4364,0,0
3429868,0,736465,0,0
23803103,0,736465,0,0
13054086,0,736465,0,0
39391656,0,736434,0,0
31290287,0,736465,0,0
23467533,0,736465,0,0
29272301,0,736465,0,0
24883610,0,4364,0,0
5620940,0,736465,0,0
29497856,0,446620,0,0
28428870,0,736465,0,0
14672838,0,736465,0,0
25938301,0,736465,0,0
24524365,0,736465,0,0
17475485,0,736434,0,0
23993155,0,736465,0,0
39252929,0,736434,0,0
1423994,0,736465,0,0
10980878,0,736465,0,0
1216608,0,736465,0,0
4989177,0,736465,0,0
29472692,0,588723,0,0
37478749,0,220699,0,0
8028656,0,736465,0,0
14672960,0,736465,0,0
36841970,0,736434,0,0
3920191,0,736465,0,0
25177029,0,888880087,0,0
4344017,0,736465,0,0
46766541,0,736465,0,0
1140750,0,736465,0,0
15564475,0,736434,0,0
21119544,0,4364,0,0
40114529,0,220699,0,0
31292346,0,736465,0,0
30526119,0,736434,0,0
34441758,0,446620,0,0
21009550,0,736465,0,0
2635846,0,736465,0,0
29466330,0,446620,0,0
34537743,0,446620,0,0
15607951,0,736434,0,0
42367206,0,736465,0,0
37867848,0,446620,0,0
34541638,0,446620,0,0
19426871,0,4364,0,0
39073664,0,220699,0,0
14964341,0,446620,0,0
11983550,0,446620,0,0
15746455,0,4900,0,0
25687054,0,736465,0,0
20466005,0,736465,0,0
19340676,0,2957909,0,0
20560236,0,736465,0,0
23734526,0,736465,0,0
15420408,0,212001,0,0
38412049,0,736465,0,0
42386906,0,4364,0,0
5365512,0,736434,0,0
22785791,0,736465,0,0
26686870,0,212592,0,0
22149950,0,736465,0,0
11019767,0,83415305,0,0
28984266,0,736465,0,0
36442147,0,8302,0,0
21629670,0,736465,0,0
30682445,0,736465,0,0
17809343,0,736434,0,0
21016097,0,446620,0,0
28054312,0,736465,0,0
15713154,0,736465,0,0
35433786,0,6559,0,0
21778898,0,446620,0,0
20512049,0,44103001,0,0
17288390,0,736465,0,0
19763196,0,736465,0,0
44569658,0,4364,0,0
41265716,0,736434,0,0
21777552,0,228643,0,0
24842317,0,736465,0,0
24179987,0,736465,0,0
47321264,0,736465,0,0
45690888,0,736465,0,0
23992320,0,736465,0,0
5453890,0,736465,0,0
29021073,0,228643,0,0
11036855,0,736434,0,0
31128192,0,736465,0,0
29327523,0,736465,0,0
37017607,0,220699,0,0
4566535,0,736465,0,0
11595696,0,736465,0,0
14648858,0,446620,0,0
14046623,0,736465,0,0
33067567,0,736465,0,0
43296243,0,736465,0,0
32723759,0,736465,0,0
19891706,0,736434,0,0
34452526,0,446620,0,0
16755243,0,736465,0,0
34538784,0,446620,0,0
13036203,0,736465,0,0
34095178,0,446620,0,0
21931022,0,731565,0,0
1814399,0,736434,0,0
24054169,0,736465,0,0
16534378,0,736465,0,0
23959530,0,736434,0,0
22897926,0,736434,0,0
23293183,0,736465,0,0
35824761,0,4900,0,0
16414474,0,736465,0,0
11960794,0,736465,0,0
42417494,0,736434,0,0
15563804,0,736465,0,0
22237085,0,44103006,0,0
3476913,0,446620,0,0
10991606,0,736465,0,0
14290185,0,736465,0,0
15701572,0,2957911,0,0
356213,0,736465,0,0
21756325,0,736465,0,0
24365473,0,446620,0,0
876493,0,8302,0,0
36639093,0,467626,0,0
