EXTN_LEGACY_ITEM_ID,EXTN_LEGACY_SELLER_ID,NODE,MIN_DAYS_TO_SHIP,MAX_DAYS_TO_SHIP
33964744,0,2957914,0,0
8250495,0,736465,0,0
40571915,0,8302,0,0
506760,0,736465,0,0
15786110,0,736465,0,0
32628380,0,736434,0,0
14915416,0,2957910,0,0
33753852,0,4900,0,0
23836091,0,736434,0,0
15074493,0,2957902,0,0
45054980,0,736465,0,0
17423929,0,4364,0,0
24179308,0,736465,0,0
28981833,0,736465,0,0
42335960,0,736465,0,0
21615287,0,736465,0,0
38630359,0,446620,0,0
15686495,0,2957910,0,0
31084670,0,2957909,0,0
25673548,0,736465,0,0
14915273,0,2957915,0,0
17193766,0,588723,0,0
42120622,0,4364,0,0
23619937,0,6559,0,0
40792271,0,736434,0,0
2304045,0,446620,0,0
36113444,0,736465,0,0
4197557,0,736465,0,0
5683517,0,736465,0,0
14931852,0,2957906,0,0
38187630,0,736434,0,0
24229901,0,446620,0,0
36775753,0,4900,0,0
2128347,0,446620,0,0
34451521,0,446620,0,0
16351925,0,2957916,0,0
3619874,0,2957912,0,0
15078695,0,2957917,0,0
45761846,0,736465,0,0
14926632,0,2957917,0,0
36491876,0,2957909,0,0
19532518,0,736465,0,0
19224293,0,736434,0,0
14929160,0,2957909,0,0
35123578,0,4900,0,0
14931831,0,2957913,0,0
31307003,0,736434,0,0
32726527,0,736465,0,0
40114708,0,220699,0,0
14940233,0,2957914,0,0
19310898,0,2957909,0,0
12452051,0,736465,0,0
37348788,0,220699,0,0
9721712,0,212001,0,0
23268993,0,736465,0,0
31893149,0,736434,0,0
13024146,0,736434,0,0
10991539,0,736465,0,0
2136097,0,736465,0,0
34761540,0,2957916,0,0
22092949,0,736465,0,0
40970476,0,736465,0,0
11601013,0,736434,0,0
29308553,0,446620,0,0
11088155,0,736465,0,0
21874856,0,395841,0,0
22220622,0,736465,0,0
24501767,0,6020201,0,0
44451075,0,736465,0,0
37873756,0,446620,0,0
14931894,0,2957906,0,0
39790335,0,736465,0,0
15074474,0,2957913,0,0
30178168,0,736465,0,0
19224129,0,736465,0,0
39131736,0,4364,0,0
17619632,0,4401,0,0
19310959,0,2957911,0,0
14095008,0,736434,0,0
8202432,0,736434,0,0
24487859,0,736434,0,0
24242339,0,736465,0,0
11994108,0,736465,0,0
13076655,0,736434,0,0
22471526,0,212001,0,0
26691432,0,4364,0,0
30169644,0,736434,0,0
10311530,0,4900,0,0
15858563,0,736465,0,0
20630500,0,2957905,0,0
379882,0,736465,0,0
39124150,0,736465,0,0
14932037,0,2957906,0,0
36957712,0,736434,0,0
20659601,0,4401,0,0
19266465,0,729981,0,0
22093418,0,736465,0,0
14940336,0,2957902,0,0
17011178,0,4900,0,0
42589434,0,736434,0,0
3913030,0,736434,0,0
19243095,0,729981,0,0
38182675,0,736434,0,0
17025330,0,736465,0,0
2346644,0,736465,0,0
380290,0,736465,0,0
40439491,0,2957902,0,0
38180248,0,736434,0,0
14309082,0,736465,0,0
42483558,0,736434,0,0
34454234,0,446620,0,0
37782545,0,736465,0,0
17373216,0,736465,0,0
19683765,0,2957909,0,0
16927999,0,4364,0,0
4100106,0,446620,0,0
21448748,0,2957906,0,0
20753912,0,4364,0,0
11538716,0,736465,0,0
22478153,0,2957916,0,0
23079166,0,736465,0,0
10849918,0,4364,0,0
47697103,0,736465,0,0
12017947,0,736465,0,0
13055918,0,2957911,0,0
10157021,0,736465,0,0
1650668,0,736465,0,0
34723429,0,4900,0,0
10954223,0,736465,0,0
46226927,0,736465,0,0
27617655,0,588723,0,0
37499383,0,736434,0,0
21973127,0,736465,0,0
20562882,0,736465,0,0
39963299,0,736434,0,0
42077596,0,736465,0,0
21185917,0,736434,0,0
15159386,0,736465,0,0
17164015,0,212001,0,0
14141155,0,736465,0,0
